Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
01/06/2011,EQ,1157.00,1177.00,1157.00,1157.15,1174.70,1175.40,1171.25,1246.95,725.75,491193.00,575310639.75,24427.00
02/06/2011,EQ,1158.90,1172.00,1156.65,1175.40,1170.00,1167.75,1163.45,1246.95,725.75,848827.00,987569955.70,31879.00
03/06/2011,EQ,1166.00,1175.00,1150.00,1167.75,1153.00,1152.10,1157.15,1246.95,725.75,683904.00,791379447.45,21179.00
06/06/2011,EQ,1140.00,1168.00,1140.00,1152.10,1167.00,1164.35,1156.70,1246.95,735.85,678537.00,784862606.20,20965.00
07/06/2011,EQ,1163.00,1183.15,1158.00,1164.35,1180.00,1179.30,1175.19,1246.95,765.25,918721.00,1079672664.90,26487.00
08/06/2011,EQ,1171.90,1185.00,1163.50,1179.30,1180.50,1181.40,1176.87,1246.95,823.25,1063835.00,1251991785.15,29739.00
09/06/2011,EQ,1175.00,1193.80,1175.00,1181.40,1182.00,1186.35,1188.17,1246.95,828.55,1346983.00,1600448147.80,45573.00
10/06/2011,EQ,1186.55,1197.50,1185.10,1186.35,1190.00,1189.20,1192.21,1246.95,828.55,1887275.00,2250023452.45,41123.00
13/06/2011,EQ,1189.20,1190.50,1172.55,1189.20,1176.45,1175.30,1180.22,1246.95,830.20,1614700.00,1905697052.75,47730.00
14/06/2011,EQ,1178.00,1194.90,1178.00,1175.30,1194.30,1191.05,1186.60,1246.95,830.20,1062891.00,1261231599.95,58212.00
15/06/2011,EQ,1186.00,1205.00,1181.25,1191.05,1183.10,1184.25,1192.24,1246.95,830.20,1406191.00,1676520130.60,72727.00
16/06/2011,EQ,1183.00,1185.90,1148.25,1184.25,1150.00,1151.15,1163.63,1246.95,830.20,1168760.00,1360009180.90,42264.00
17/06/2011,EQ,1155.00,1157.00,1104.00,1151.15,1117.40,1109.20,1120.41,1246.95,838.00,1894073.00,2122140727.75,51582.00
20/06/2011,EQ,1115.00,1119.00,1058.00,1109.20,1072.80,1069.30,1079.12,1246.95,864.50,2655204.00,2865284005.10,73359.00
21/06/2011,EQ,1075.00,1110.70,1063.20,1069.30,1107.00,1106.75,1095.37,1246.95,869.00,1712973.00,1876347156.30,48867.00
22/06/2011,EQ,1116.00,1116.90,1080.00,1106.75,1081.80,1083.50,1090.56,1246.95,869.00,1785417.00,1947106553.45,50764.00
